concept_code,target_concept_code,concept_tier,target_tier,n11,n10,n01,n00,support_both,odds_ratio,log_odds_ratio,phi,p_target_given_code,p_target_given_no_code,n_code_before_target_final,n_target_before_code_final
30183-states_specify-45,32598-Symptoms_Ill_11,2,2,0,2,34,690,0.0,4.0028985507246375,1.3870187363779323,-0.011650166334724002,0.0,0.04696132596685083,2,34
30183-states_specify-45,32599-Symptoms_Ill_12,2,2,1,1,108,616,0.0013774104683195593,5.682027649769585,1.7373081496238847,0.0514782293394346,0.5,0.14917127071823205,1,108
30183-states_specify-45,32600-Symptoms_Ill_13,2,2,0,2,21,703,0.0,6.544186046511628,1.8785770289867263,-0.009071117732293544,0.0,0.029005524861878452,2,21
30183-states_specify-45,32601-Symptoms_Ill_14,2,2,0,2,9,715,0.0,15.063157894736841,2.71225188795591,-0.005888536774610444,0.0,0.012430939226519336,2,9
30183-states_specify-45,32602-Symptoms_Ill_15,2,2,0,2,13,711,0.0,10.540740740740741,2.355247819651423,-0.007096964387698385,0.0,0.017955801104972375,2,13
30183-states_specify-45,32603-Symptoms_Ill_16,2,2,0,2,18,706,0.0,7.6378378378378375,2.0331145576062024,-0.008380411389966546,0.0,0.024861878453038673,2,18
30183-states_specify-45,32604-Symptoms_Ill_17,2,2,0,2,36,688,0.0,3.7726027397260276,1.3277651451461634,-0.01200528348735749,0.0,0.049723756906077346,2,36
30183-states_specify-45,32605-Symptoms_Ill_18,2,2,0,2,5,719,0.0,26.163636363636364,3.264370521654897,-0.004376864325761094,0.0,0.006906077348066298,2,5
30183-states_specify-45,32606-Symptoms_Ill_19,2,2,0,2,2,722,0.0,57.8,4.056988775678332,-0.0027624309392265192,0.0,0.0027624309392265192,2,2
30183-states_specify-45,32607-Symptoms_Ill_20,2,2,0,2,0,724,0.0,289.8,5.669191029886582,,0.0,0.0,2,0
30183-states_specify-45,32608-Symptoms_Ill_21,2,2,0,2,95,629,0.0,1.318324607329843,0.2763616935636169,-0.020393550269473263,0.0,0.13121546961325967,2,95
30183-states_specify-45,32609-Symptoms_Ill_22,2,2,0,2,0,724,0.0,289.8,5.669191029886582,,0.0,0.0,2,0
30183-states_specify-45,32610-Symptoms_Ill_23,2,2,0,2,28,696,0.0,4.887719298245614,1.5867257935111552,-0.010526815689702212,0.0,0.03867403314917127,2,28
30183-states_specify-45,32611-Symptoms_Ill_24,2,2,0,2,2,722,0.0,57.8,4.056988775678332,-0.0027624309392265192,0.0,0.0027624309392265192,2,2
30183-states_specify-45,32612-Symptoms_Ill_25,2,2,0,2,71,653,0.0,1.827972027972028,0.6032071709302143,-0.017304308102565773,0.0,0.09806629834254144,2,71
30183-states_specify-45,32613-Symptoms_Ill_26,2,2,0,2,26,698,0.0,5.271698113207547,1.6623525332707396,-0.010129391775555888,0.0,0.03591160220994475,2,26
